Series_Title,Released_Year,Actor_Id
Alien,1979,256
Alien,1979,257
Anand,1971,258
Anand,1971,259
Anand,1971,260
Anand,1971,261
Tengoku to jigoku,1963,107
Tengoku to jigoku,1963,262
Tengoku to jigoku,1963,103
Tengoku to jigoku,1963,263
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,264
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,265
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,266
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,267
Witness for the Prosecution,1957,268
Witness for the Prosecution,1957,269
Witness for the Prosecution,1957,270
Witness for the Prosecution,1957,271
Paths of Glory,1957,272
Paths of Glory,1957,273
Paths of Glory,1957,274
Paths of Glory,1957,275
Rear Window,1954,111
Rear Window,1954,276
Rear Window,1954,277
Rear Window,1954,278
Sunset Blvd.,1950,279
Sunset Blvd.,1950,280
Sunset Blvd.,1950,281
Sunset Blvd.,1950,282
The Great Dictator,1940,176
The Great Dictator,1940,177
The Great Dictator,1940,283
The Great Dictator,1940,284
1917,2019,285
1917,2019,286
1917,2019,287
1917,2019,288
Tumbbad,2018,289
Tumbbad,2018,290
Tumbbad,2018,291
Tumbbad,2018,292
Andhadhun,2018,293
Andhadhun,2018,294
Andhadhun,2018,295
Andhadhun,2018,296
Drishyam,2013,297
Drishyam,2013,298
Drishyam,2013,299
Drishyam,2013,300
Jagten,2012,301
Jagten,2012,302
Jagten,2012,303
Jagten,2012,304
Jodaeiye Nader az Simin,2011,305
Jodaeiye Nader az Simin,2011,306
Jodaeiye Nader az Simin,2011,307
Jodaeiye Nader az Simin,2011,308
Incendies,2010,309
Incendies,2010,310
Incendies,2010,311
Incendies,2010,312
Miracle in cell NO.7,2019,313
Miracle in cell NO.7,2019,314
Miracle in cell NO.7,2019,315
Miracle in cell NO.7,2019,316
Babam ve Oglum,2005,188
Babam ve Oglum,2005,317
Babam ve Oglum,2005,318
Babam ve Oglum,2005,319
Inglourious Basterds,2009,34
Inglourious Basterds,2009,320
Inglourious Basterds,2009,321
Inglourious Basterds,2009,322
Eternal Sunshine of the Spotless Mind,2004,323
Eternal Sunshine of the Spotless Mind,2004,324
Eternal Sunshine of the Spotless Mind,2004,325
Eternal Sunshine of the Spotless Mind,2004,326
Amélie,2001,327
Amélie,2001,328
Amélie,2001,329
Amélie,2001,330
Snatch,2000,331
Snatch,2000,34
Snatch,2000,332
Snatch,2000,333
Requiem for a Dream,2000,334
Requiem for a Dream,2000,335
Requiem for a Dream,2000,336
Requiem for a Dream,2000,337
American Beauty,1999,96
American Beauty,1999,338
American Beauty,1999,339
American Beauty,1999,340
Good Will Hunting,1997,341
Good Will Hunting,1997,86
Good Will Hunting,1997,342
Good Will Hunting,1997,343
Bacheha-Ye aseman,1997,344
Bacheha-Ye aseman,1997,345
Bacheha-Ye aseman,1997,346
Bacheha-Ye aseman,1997,347
Toy Story,1995,39
Toy Story,1995,348
Toy Story,1995,349
